id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
Ugz6N76GR7NXi0o58oh4AaABAg,0,0,"2023-10-10 21:34:51",@S-770,"🤬🤬🤬🤬🤬🤬🤬 لعنة الله على العرب الجبناء .. لعنة الله على الدول المجاوره الصامته والراضيه .. على حكام العرب الخنازير لعنه الله لعنه تهز السماوات والارض وعلى والديهم .. ليش ساكتين ليش وإسرائيل هاذي هز كيانها وارعبها اشخاص ومجاهدين فقط بأسلحه خفيفه .. مالقيت اجبن واعفن و اوطى وانذل حكام بالكره الارضيه اكثر من حكام العرب .. بايدن ونتنياهو يتحكمو فيهم كامل ليش الذل هذا ليش .. إسرائيل هاذي محتله فلسطين وهم ساكتين ااااااااااااخ اااااااخ .. دمرو غزه وحاصروها وقتلو نسائها واطفالها ومشايخها وكل شي وهم ساكتين .. طيب اسلحتهم العرب المعفنين هاذول والانذال ليش هي معاهم علشان ايش لعنهم الله لعنهم الله قبل اليهود والإسرائيليين .. ااااااااااخ يارب .. انا في اليمن واتمنى اقاتل في فلسطين كيف اروح ومن راح يستقبلني .. يااااااااااااارب .. 500.000 كلمه بذيئه اريد اطلعها لحكام العرب ولاكن احترام للمشاهدين راح اسكت .😤😤😤🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬 الله يرحمك ياصدام حسين الله يرحمك يا سند وظهر فلسطين",UCgWeVBFr3l70-irf_WHQr2A,http://www.youtube.com/@S-770,0,,
Ugza2A47U0U_jTJZyoh4AaABAg,0,2,"2023-10-10 21:29:53",@user-nj4xi2zt7u,"كيف كيف هدا ما تجيده صحافة العرب التافهة",UC0mDF4tQkxf6QCv1gJC1J5w,http://www.youtube.com/@user-nj4xi2zt7u,0,,
UgzCy01yU2jU_z1IDuR4AaABAg,0,2,"2023-10-10 21:29:27",@user-yo2xq3wr7x,"- اللهُمَّ فِي وقت تنزُلك إلى السمّاء الدنيا فتستَجِيب لِكُلّ داعِي وتُعطي كُلّ سائِل: «اللهُمَّ إِنّا نسألُكَ بِنُورِ وجهِك الذيّ أشرَقتْ لهُ السمٰوات والأرض ، وصَلُح بهِ أمر الدُنيّا والآخِرة ، أنّ تجعل النصر للاقصى وأحِبتنّا فِي حِرزِك ، وحِفظِك ، وجِوارِك ، وتَحتَ كَنَفِك ، يا خَيرٌ حَافِظ ، وأرحَم الراحِمين»💔🤲🏼🇵🇸😔🇵🇸🤲💘😢😢😢",UC8MYG3O8bIBzsOUwTAAra6Q,http://www.youtube.com/@user-yo2xq3wr7x,0,,
UgxlZ4L6RdYQYK5RhSF4AaABAg,0,8,"2023-10-10 21:29:16",@user-mz2hd9sz8x,"الله واكبر الله واكبر ولله الحمد اللهم انصر اللهم انصر اخواننا في فلسطين وحفظ دمائهم واعراضهم يارب العالمين",UCcUpasEbfDSPML3fwlG69aQ,http://www.youtube.com/@user-mz2hd9sz8x,0,,
UgzDKIlnTthU9GXOm_Z4AaABAg,2,1,"2023-10-10 21:28:55",@user-gx6ro8mi5t,"الشعب العربي يقف مع فلسطين عدا. بعض المطبعين يتباكون على انهيار إسرائيل المزعومه دولت الكذب عجيب يصنعون متنزه في بركان مشتعل انهم يحلمون",UC9SOeoX8uePWdMt2pamaiLA,http://www.youtube.com/@user-gx6ro8mi5t,0,,
UgzDKIlnTthU9GXOm_Z4AaABAg.9vhRsWf_-OH9wOtpQEHlFo,,0,"2023-10-28 03:48:29",@ghizlane4171,"وين واقف معاهم بالاحلام ؟",UCFedmGEZwhHLEN_HLyn1ZYg,http://www.youtube.com/@ghizlane4171,1,UgzDKIlnTthU9GXOm_Z4AaABAg,@user-gx6ro8mi5t
UgzDKIlnTthU9GXOm_Z4AaABAg.9vhRsWf_-OH9wOzR1OJK-6,,0,"2023-10-28 04:37:27",@user-gx6ro8mi5t,"@@ghizlane4171 انتي ما مقهوره على الشعب الفلسطيني اخوانه مع الأسف عليج",UC9SOeoX8uePWdMt2pamaiLA,http://www.youtube.com/@user-gx6ro8mi5t,1,UgzDKIlnTthU9GXOm_Z4AaABAg,@user-gx6ro8mi5t
UgweiiTilfQSZOKNHQt4AaABAg,0,0,"2023-10-10 21:27:34",@aronhshzggs,"7اكثوبر تاريخ سيدرس للاجيال القادمة",UCpFrujTKI0AZgmPbfUrjF2Q,http://www.youtube.com/@aronhshzggs,0,,
UgwvlvpzJtYqMLWqeBl4AaABAg,3,6,"2023-10-10 21:24:18",@aniskhalloufi5709,"حرب أكتوبر 1973 و اليوم حرب أكتوبر 2023",UCpAj8iIgDGrAN9WB_4P8O1w,http://www.youtube.com/@aniskhalloufi5709,0,,
UgwvlvpzJtYqMLWqeBl4AaABAg.9vhRLmv34Q29viPDhev7sA,,1,"2023-10-11 06:24:58",@monismedaoui5731,"بعد نصف قرن",UCoVRGnVxQnRSrP6zyABsBRw,http://www.youtube.com/@monismedaoui5731,1,UgwvlvpzJtYqMLWqeBl4AaABAg,@aniskhalloufi5709
UgwvlvpzJtYqMLWqeBl4AaABAg.9vhRLmv34Q29w2hIPWzDP7,,1,"2023-10-19 12:55:41",@user-co8tz2oz1o,"هذي حركه عبثيه راح ضحيتها اهل غزه قال ايش قال حرب 😂",UCrO8r5wwYlsurO36SBLazTg,http://www.youtube.com/@user-co8tz2oz1o,1,UgwvlvpzJtYqMLWqeBl4AaABAg,@aniskhalloufi5709
UgwvlvpzJtYqMLWqeBl4AaABAg.9vhRLmv34Q29w2iZExMsnf,,0,"2023-10-19 13:06:43",@monismedaoui5731,"@@user-co8tz2oz1o لماذا تضحك ؟ هل انت جالس على شيء يدغدغ",UCoVRGnVxQnRSrP6zyABsBRw,http://www.youtube.com/@monismedaoui5731,1,UgwvlvpzJtYqMLWqeBl4AaABAg,@aniskhalloufi5709
UgxPTASVN15IQHnUpLl4AaABAg,0,1,"2023-10-10 21:20:42",@khaliddahhan2232,"يَقولُ الشّيخ عبدُالعزيز الطّريفي(فرّج اللهُ عنهُ) : (لو كانت قناة العربية موجودةٌ في زمنِ النّبوّة ما إجتمعَ المُنَافقون إلّا فيها ولا أُنفِقَت أموالُ بَني قُريظةَ إلّا عَليها).",UCO9T4yPE84rcaD0icf6eYLQ,http://www.youtube.com/@khaliddahhan2232,0,,
Ugx8ioiPkWejjT29o5Z4AaABAg,0,0,"2023-10-10 21:17:55",@user-gh7ir9qt7p,"الماسونية صنعة البوبجي لحتي تلهي شبابنا بس الحمدالله وقع السحر على الساحر عملو فيون متل لعبة البوبجي الله ينصرون ويحميون ويمدون بجنودمن عندو أمين يارب",UCfPO_xdz8ZWNKZEOcZ7lKKA,http://www.youtube.com/@user-gh7ir9qt7p,0,,
Ugxr_UaGVAwoq8S6rct4AaABAg,4,41,"2023-10-10 21:09:31",@user-mf7jb2ik2o,"فلسطيني وافتخر ❤",UCh5C9ML6KzVN2cRAEZ311WA,http://www.youtube.com/@user-mf7jb2ik2o,0,,
Ugxr_UaGVAwoq8S6rct4AaABAg.9vhPeRaL_YG9viUfZZm3o3,,3,"2023-10-11 07:12:36",@user-yv2is1rj1e,"ربي ينصركم اختكم من جزائر هنيئا لكم ربي معكم",UCrHq0Aurz_LB6fdS3FDaZeA,http://www.youtube.com/@user-yv2is1rj1e,1,Ugxr_UaGVAwoq8S6rct4AaABAg,@user-mf7jb2ik2o
Ugxr_UaGVAwoq8S6rct4AaABAg.9vhPeRaL_YG9vigqN5mKau,,1,"2023-10-11 09:07:40",@user-mf7jb2ik2o,"@@user-yv2is1rj1e 🙆‍♂️",UCh5C9ML6KzVN2cRAEZ311WA,http://www.youtube.com/@user-mf7jb2ik2o,1,Ugxr_UaGVAwoq8S6rct4AaABAg,@user-mf7jb2ik2o
Ugxr_UaGVAwoq8S6rct4AaABAg.9vhPeRaL_YG9wCTVLmfb_0,,2,"2023-10-23 07:58:47",@Ah____mdAl3m9l,"ربي ينصركم ان شاء الله تحياتي من السعوديه❤",UCF7ZxjGJ3E4lSUNm-SrdruQ,http://www.youtube.com/@Ah____mdAl3m9l,1,Ugxr_UaGVAwoq8S6rct4AaABAg,@user-mf7jb2ik2o
Ugxr_UaGVAwoq8S6rct4AaABAg.9vhPeRaL_YG9wGHpCVqRNX,,0,"2023-10-24 19:33:44",@waelmegahdwaelmegahd9557,❤,UCHGzJgEUo-jDyAy2dNgZWkg,http://www.youtube.com/@waelmegahdwaelmegahd9557,1,Ugxr_UaGVAwoq8S6rct4AaABAg,@user-mf7jb2ik2o
Ugzj6gfBlCASVEVHxGx4AaABAg,0,0,"2023-10-10 21:07:29",@Zara22651,"فى واحدة فى جسمى من عالم الجان بتحب الرجالة الكبار فى السن واحدة ريحتها جايفة ومنتة وقاعدة فى الجسم وبتحب واحد صاحبى والقرين سبب فى دخولها فى جسمى قرين المقترن ب انا شخصيا شااااذ",UCcHGZmJR89wiw5VQK5P9aCQ,http://www.youtube.com/@Zara22651,0,,
UgzLnDs8LrO1X2wPDSp4AaABAg,0,0,"2023-10-10 21:06:19",@dredendreden8739,"حماس لو كانت متيقنة أنها ستواجه جيش يعد من أقوى جيوش العالم ما فكرت في اقتحامه كانت متاكدة أن من يقابلها من الطرف الآخر جبناء يحسبون كل صيحة عليهم فدهسوهم شر دهسة سيذكرونها طويلا مثل الهولوكوست",UCFJZcXTu_kDb5bsIYtkj8QA,http://www.youtube.com/@dredendreden8739,0,,
UgxLQ7cMTwPUU2jAoNx4AaABAg,0,18,"2023-10-10 21:03:02",@user-ie9xc9on1o,"(إِن تَكُونُوا تَأْلَمُونَ فَإِنَّهُمْ يَأْلَمُونَ كَمَا تَأْلَمُونَ ۖ وَتَرْجُونَ مِنَ اللَّهِ مَا لَا يَرْجُونَ ۗ وَكَانَ اللَّهُ عَلِيمًا حَكِيمًا) اللهم كمَا جَعلْتها برْدًا وسلَامًا عَلى سيدنا إبراهيم؛ فاجْعلها بردًا وسلامًا عَلى عِبَادِك من أهل غَـ ـزَّة. لا تنسوهم من دعائكم♥️",UC7K51ZgH2bBndK2XL9Teg6g,http://www.youtube.com/@user-ie9xc9on1o,0,,
UgzegJ-QarPEEPVfl_p4AaABAg,0,0,"2023-10-10 20:59:18",@salmanalfaqih7558,"في وقت مبكٍر مش مبكر",UCKL7iAa54VTVuPy34Kp5R2g,http://www.youtube.com/@salmanalfaqih7558,0,,
UgyallH-UxZRq_tMnYF4AaABAg,0,2,"2023-10-10 20:57:15",@user-dx3pv2mi8t,"لا إله إلى الله محمد رسول الله صلى الله علية وسلم",UCGJDC3SgpOuU_ZtcIByFRtg,http://www.youtube.com/@user-dx3pv2mi8t,0,,
UgzlYXkquVN92t2PrIt4AaABAg,5,7,"2023-10-10 20:56:46",@Andreas-ln7dh,"يا حسافة ع المقاومة والممانعة ...حسن نصرلله وجيش بشار ولواء ابو الفضل العباس والحشد وزينبيون وفاطميون والنجباء ..كلهم موجودين ع حدود اسرائيل ....لك انكشف زيفكم ..حتى لمن بتنضرب قذيفة هاون ..بتقولوا المقاومة الفلسطينية .........وين النابالم والفسفور والقنابل العنقودية والطيران ....كل هي الاسلحة موجهة لادلب .......بالحرب نعامات ...وع الشعب اسود ...خسئتم ......الله ينصر الشعب الفلسطيني",UCY3LD6-UBtImYhTtv0ZgHcA,http://www.youtube.com/@Andreas-ln7dh,0,,
UgzlYXkquVN92t2PrIt4AaABAg.9vhOC1PuyVW9vhOWil_-_P,,4,"2023-10-10 20:59:35",@modsyria,"هدول عملاء اسرائيل و قصف عملاء اسرائيل بادلب هو بحد ذاتو حرب على اسرائيل 👍",UCC5W46FVIUjunip2vadf64w,http://www.youtube.com/@modsyria,1,UgzlYXkquVN92t2PrIt4AaABAg,@Andreas-ln7dh
UgzlYXkquVN92t2PrIt4AaABAg.9vhOC1PuyVW9vhPGKukkWy,,2,"2023-10-10 21:06:05",@DfhyjjuWerw,"وهاي المظلات والصواريخ من وين هاي اول شي وثاني شي ضربو واسرائيل ردت زين السعودية وينها؟",UCGmtRaqVZFwMS_OnSKOjWqw,http://www.youtube.com/@DfhyjjuWerw,1,UgzlYXkquVN92t2PrIt4AaABAg,@Andreas-ln7dh
UgzlYXkquVN92t2PrIt4AaABAg.9vhOC1PuyVW9vhUAQi_v60,,3,"2023-10-10 21:48:58",@bibosmed2394,"صواريخ المقاومة مكتوب عليها اسم المهندس التونسي محمد الزواري الذي صنع صواريخ اباببل للمقاومة .الله اكبر حيوا تونس ❤🇹🇳",UCaTTln3aPVGFg9lqCVTy97A,http://www.youtube.com/@bibosmed2394,1,UgzlYXkquVN92t2PrIt4AaABAg,@Andreas-ln7dh
UgzlYXkquVN92t2PrIt4AaABAg.9vhOC1PuyVW9w2hhmFgrYd,,1,"2023-10-19 12:59:17",@user-co8tz2oz1o,"@@DfhyjjuWerw وش دخل السعوديه يامغفل مبسوط من حركه حماس الايرانيه ضربه حماس هذي لتوريط الشعب الفلسطينى وهذا مانراه الان وين حماس عنكم اسرائيل قتلت المدنيين وانت جالس تفتخر",UCrO8r5wwYlsurO36SBLazTg,http://www.youtube.com/@user-co8tz2oz1o,1,UgzlYXkquVN92t2PrIt4AaABAg,@Andreas-ln7dh
UgzlYXkquVN92t2PrIt4AaABAg.9vhOC1PuyVW9wO9VYVVTEN,,0,"2023-10-27 20:54:56",@lateflatef329,"والله العلي العظيم من اجوي ألسنة فلسطين الزيارة الاربعين مال الامام الحسين والله كلت راح تصير شي فلسطين ماعدهة سلاح وحتة بعمرهم مصارت هيجي عدهم هاي خطة مال عسكرين محنكين من أيران وحتة لسلاح من إيران لأن هاي موشي قليل",UChOg5krPWWtpVq-1l8mTA6g,http://www.youtube.com/@lateflatef329,1,UgzlYXkquVN92t2PrIt4AaABAg,@Andreas-ln7dh
Ugw1dKD74l0d-YKBXfN4AaABAg,0,1,"2023-10-10 20:55:58",@user-ry6by1wy4g,"أنا فلسطيني إنتضروني في بت مباشر من قناتي ،",UCMIurz_Y10l6mhTtf-MS2Vg,http://www.youtube.com/@user-ry6by1wy4g,0,,
